spell damage,hit chance,crit chance,number of mages,simulations,dps per mage
300,99,25,2,3000,638.55
300,99,25,3,3000,653.09
300,99,25,4,3000,654.82
300,99,25,5,3000,654.58
300,99,25,6,3000,648.49
300,99,25,7,3000,639.32
300,99,25,8,3000,628.23
300,99,25,9,3000,617.91
300,99,30,1,3000,627.06
300,99,30,2,3000,681.15
300,99,30,3,3000,695.88
300,99,30,4,3000,693.12
300,99,30,5,3000,688.10
300,99,30,6,3000,673.86
300,99,30,7,3000,659.41
300,99,30,8,3000,643.90
300,99,30,9,3000,630.81
300,99,35,1,3000,664.15
300,99,35,2,3000,725.31
300,99,35,3,3000,737.70
300,99,35,4,3000,728.24
300,99,35,5,3000,716.49
300,99,35,6,3000,694.48
300,99,35,7,3000,673.79
300,99,35,8,3000,658.30
300,99,35,9,3000,645.62
300,99,40,1,3000,706.04
300,99,40,2,3000,773.06
300,99,40,3,3000,778.83
300,99,40,4,3000,757.84
300,99,40,5,3000,737.93
300,99,40,6,3000,710.39
300,99,40,7,3000,690.61
300,99,40,8,3000,673.92
300,99,40,9,3000,660.02
300,99,45,1,3000,750.19
300,99,45,2,3000,819.97
300,99,45,3,3000,817.58
300,99,45,4,3000,784.83
300,99,45,5,3000,756.60
300,99,45,6,3000,729.06
300,99,45,7,3000,706.14
300,99,45,8,3000,687.74
300,99,45,9,3000,672.38
300,99,50,1,3000,801.31
300,99,50,2,3000,870.89
300,99,50,3,3000,852.29
300,99,50,4,3000,805.66
300,99,50,5,3000,773.66
300,99,50,6,3000,744.63
300,99,50,7,3000,719.85
300,99,50,8,3000,700.29
300,99,50,9,3000,684.64
300,99,55,1,3000,854.88
300,99,55,2,3000,919.19
300,99,55,3,3000,882.13
300,99,55,4,3000,827.20
300,99,55,5,3000,792.07
300,99,55,6,3000,759.10
300,99,55,7,3000,733.58
300,99,55,8,3000,712.64
300,99,55,9,3000,695.91
300,99,60,1,3000,917.72
300,99,60,2,3000,970.36
300,99,60,3,3000,908.19
300,99,60,4,3000,847.50
300,99,60,5,3000,808.18
300,99,60,6,3000,773.72
300,99,60,7,3000,745.98
300,99,60,8,3000,724.72
300,99,60,9,3000,707.10
300,99,65,1,3000,984.44
300,99,65,2,3000,1013.56
300,99,65,3,3000,932.83
300,99,65,4,3000,866.00
300,99,65,5,3000,822.87
300,99,65,6,3000,786.14
300,99,65,7,3000,757.87
300,99,65,8,3000,735.70
300,99,65,9,3000,717.54
300,99,70,1,3000,1061.90
300,99,70,2,3000,1055.13
300,99,70,3,3000,957.99
300,99,70,4,3000,882.55
300,99,70,5,3000,837.05
300,99,70,6,3000,798.15
300,99,70,7,3000,769.24
300,99,70,8,3000,746.55
300,99,70,9,3000,728.32
350,89,10,1,3000,477.58
350,89,10,2,3000,507.55
350,89,10,3,3000,516.79
350,89,10,4,3000,517.17
350,89,10,5,3000,516.60
350,89,10,6,3000,515.32
350,89,10,7,3000,514.10
350,89,10,8,3000,513.47
350,89,10,9,3000,511.88
350,89,15,1,3000,501.31
350,89,15,2,3000,535.09
350,89,15,3,3000,546.46
350,89,15,4,3000,548.28
350,89,15,5,3000,548.35
350,89,15,6,3000,548.22
350,89,15,7,3000,547.73
350,89,15,8,3000,545.14
350,89,15,9,3000,543.46
350,89,20,1,3000,527.32
350,89,20,2,3000,565.73
350,89,20,3,3000,580.18
350,89,20,4,3000,582.63
350,89,20,5,3000,583.94
350,89,20,6,3000,584.06
350,89,20,7,3000,580.28
350,89,20,8,3000,576.02
350,89,20,9,3000,570.54
350,89,25,1,3000,553.63
350,89,25,2,3000,599.34
350,89,25,3,3000,616.98
350,89,25,4,3000,618.88
350,89,25,5,3000,617.96
350,89,25,6,3000,614.49
350,89,25,7,3000,607.75
350,89,25,8,3000,600.28
350,89,25,9,3000,590.84
350,89,30,1,3000,582.90
350,89,30,2,3000,635.99
350,89,30,3,3000,655.18
350,89,30,4,3000,655.58
350,89,30,5,3000,649.88
350,89,30,6,3000,641.63
350,89,30,7,3000,630.10
350,89,30,8,3000,617.78
350,89,30,9,3000,604.79
350,89,35,1,3000,615.82
350,89,35,2,3000,676.02
350,89,35,3,3000,693.55
350,89,35,4,3000,689.99
350,89,35,5,3000,679.59
350,89,35,6,3000,665.67
350,89,35,7,3000,647.44
350,89,35,8,3000,630.95
350,89,35,9,3000,618.70
350,89,40,1,3000,652.68
350,89,40,2,3000,720.36
350,89,40,3,3000,733.74
350,89,40,4,3000,721.60
350,89,40,5,3000,704.43
350,89,40,6,3000,682.53
350,89,40,7,3000,661.52
350,89,40,8,3000,646.03
350,89,40,9,3000,632.35
350,89,45,1,3000,690.94
350,89,45,2,3000,765.95
350,89,45,3,3000,772.54
350,89,45,4,3000,748.58
350,89,45,5,3000,723.11
350,89,45,6,3000,697.58
350,89,45,7,3000,677.43
350,89,45,8,3000,660.39
350,89,45,9,3000,645.82
350,89,50,1,3000,732.45
350,89,50,2,3000,810.27
350,89,50,3,3000,807.39
350,89,50,4,3000,772.15
350,89,50,5,3000,739.11
350,89,50,6,3000,714.12
350,89,50,7,3000,692.09
350,89,50,8,3000,673.02
350,89,50,9,3000,657.19
350,89,55,1,3000,778.51
350,89,55,2,3000,855.80
350,89,55,3,3000,838.51
350,89,55,4,3000,792.08
350,89,55,5,3000,756.33
350,89,55,6,3000,729.76
350,89,55,7,3000,706.03
350,89,55,8,3000,685.24
350,89,55,9,3000,668.79
350,89,60,1,3000,829.55
350,89,60,2,3000,902.97
350,89,60,3,3000,867.64
350,89,60,4,3000,814.34
350,89,60,5,3000,773.54
350,89,60,6,3000,743.49
350,89,60,7,3000,717.59
350,89,60,8,3000,696.93
350,89,60,9,3000,679.72
350,89,65,1,3000,884.06
350,89,65,2,3000,947.00
350,89,65,3,3000,895.00
350,89,65,4,3000,832.55
350,89,65,5,3000,788.49
350,89,65,6,3000,756.65
350,89,65,7,3000,730.21
350,89,65,8,3000,707.85
350,89,65,9,3000,689.79
350,89,70,1,3000,946.01
350,89,70,2,3000,990.03
350,89,70,3,3000,916.83
350,89,70,4,3000,851.87
350,89,70,5,3000,803.25
350,89,70,6,3000,769.36
350,89,70,7,3000,740.51
350,89,70,8,3000,718.61
350,89,70,9,3000,700.32
350,91,10,1,3000,489.08
350,91,10,2,3000,519.21
350,91,10,3,3000,527.51
350,91,10,4,3000,528.23
350,91,10,5,3000,526.69
350,91,10,6,3000,525.71
350,91,10,7,3000,524.69
350,91,10,8,3000,524.17
350,91,10,9,3000,523.58
350,91,15,1,3000,513.50
350,91,15,2,3000,548.17
350,91,15,3,3000,557.72
350,91,15,4,3000,560.55
350,91,15,5,3000,560.44
350,91,15,6,3000,561.08
350,91,15,7,3000,559.73
350,91,15,8,3000,557.49
350,91,15,9,3000,554.75
350,91,20,1,3000,539.68
350,91,20,2,3000,579.63
350,91,20,3,3000,592.65
350,91,20,4,3000,595.41
350,91,20,5,3000,596.69
350,91,20,6,3000,595.43
350,91,20,7,3000,592.05
350,91,20,8,3000,588.26
350,91,20,9,3000,583.26
350,91,25,1,3000,568.64
350,91,25,2,3000,613.97
350,91,25,3,3000,630.62
350,91,25,4,3000,632.54
350,91,25,5,3000,631.89
350,91,25,6,3000,628.48
350,91,25,7,3000,620.97
350,91,25,8,3000,611.78
350,91,25,9,3000,603.19
350,91,30,1,3000,598.16
350,91,30,2,3000,651.75
350,91,30,3,3000,669.51
350,91,30,4,3000,669.69
350,91,30,5,3000,664.92
350,91,30,6,3000,656.38
350,91,30,7,3000,643.18
350,91,30,8,3000,630.52
350,91,30,9,3000,617.06
350,91,35,1,3000,632.81
350,91,35,2,3000,692.94
350,91,35,3,3000,710.56
350,91,35,4,3000,704.24
350,91,35,5,3000,693.60
350,91,35,6,3000,678.14
350,91,35,7,3000,659.51
350,91,35,8,3000,642.99
350,91,35,9,3000,630.65
350,91,40,1,3000,667.47
350,91,40,2,3000,738.14
350,91,40,3,3000,751.13
350,91,40,4,3000,736.96
350,91,40,5,3000,717.55
350,91,40,6,3000,695.67
350,91,40,7,3000,674.67
350,91,40,8,3000,658.25
350,91,40,9,3000,644.90
350,91,45,1,3000,709.01
350,91,45,2,3000,782.66
350,91,45,3,3000,789.22
350,91,45,4,3000,765.02
350,91,45,5,3000,737.11
350,91,45,6,3000,711.56
350,91,45,7,3000,690.53
350,91,45,8,3000,672.71
350,91,45,9,3000,657.77
350,91,50,1,3000,752.53
350,91,50,2,3000,828.70
350,91,50,3,3000,824.50
350,91,50,4,3000,788.37
350,91,50,5,3000,753.57
350,91,50,6,3000,728.47
350,91,50,7,3000,705.33
350,91,50,8,3000,685.54
350,91,50,9,3000,669.46
350,91,55,1,3000,802.84
350,91,55,2,3000,877.89
350,91,55,3,3000,857.77
350,91,55,4,3000,807.41
350,91,55,5,3000,771.65
350,91,55,6,3000,742.94
350,91,55,7,3000,718.54
350,91,55,8,3000,698.14
350,91,55,9,3000,681.16
350,91,60,1,3000,854.44
350,91,60,2,3000,926.75
350,91,60,3,3000,886.63
350,91,60,4,3000,828.90
350,91,60,5,3000,788.48
350,91,60,6,3000,757.79
350,91,60,7,3000,731.01
350,91,60,8,3000,709.77
350,91,60,9,3000,692.13
350,91,65,1,3000,913.80
350,91,65,2,3000,971.53
350,91,65,3,3000,909.94
350,91,65,4,3000,849.34
350,91,65,5,3000,803.64
350,91,65,6,3000,771.10
